Sub_id,rt,cond
1,971.8265632087922,noise
2,857.6081665372951,noise
3,1035.3547583022873,noise
4,867.6208707594525,noise
5,928.3818313279531,noise
6,925.6146127265147,noise
7,1021.1715184399466,noise
8,1021.1445203023742,noise
9,1153.8435030155763,noise
10,1256.0521124105512,noise
11,1123.3607149851873,noise
12,1042.1812156235676,noise
13,763.5502095684848,noise
14,1035.0208763443406,noise
15,1028.4994225524808,noise
16,989.6639760469989,noise
17,1092.6373053971492,noise
18,1043.7295230300795,noise
19,1038.9305716948277,noise
20,908.6886912581376,noise
21,932.5560583939308,noise
22,876.1058831160847,noise
23,965.2362523707013,noise
24,1007.7496902800759,noise
25,989.978685384451,noise
26,895.4807183579585,noise
27,1005.6937169374387,noise
28,1067.157942842713,noise
29,903.472425096159,noise
30,944.5746497981069,noise
31,943.5133313551236,noise
32,843.2930486455783,noise
33,1014.4398005283206,noise
34,1188.6216727775868,noise
35,979.6565773417524,noise
36,963.1535965013347,noise
37,813.3130010242858,noise
38,983.855671231996,noise
39,933.9973630248538,noise
40,823.2535319503254,noise
41,999.0599084890516,noise
42,1072.7234677287029,noise
43,1024.1723422309747,noise
44,891.2174512791711,noise
45,973.75927986181,noise
46,901.6719732851515,noise
47,1118.1938491941837,noise
48,1119.2327975295375,noise
49,1060.0390154609372,noise
50,1243.2253586909187,noise
51,1140.3877297982679,noise
52,1009.9325677909709,noise
53,978.7066481634288,noise
54,890.1766147197222,noise
55,1036.043633534516,noise
56,1067.2768464746503,noise
57,1087.6042322333828,noise
58,955.1675205042003,noise
59,1028.8953415509754,noise
60,971.313871316799,noise
1,703.5022646849853,quiet
2,690.0348159187836,quiet
3,559.3293134401351,quiet
4,648.956330859979,quiet
5,760.8694408353344,quiet
6,634.0966619630598,quiet
7,546.7925481375175,quiet
8,566.4911137173777,quiet
9,740.919817230966,quiet
10,510.39084363861036,quiet
11,675.9628762758687,quiet
12,690.390420680253,quiet
13,470.9414386185548,quiet
14,538.1222812736981,quiet
15,699.2848880250974,quiet
16,728.9039802124327,quiet
17,608.2342853365585,quiet
18,522.3229983189107,quiet
19,710.4690836319501,quiet
20,741.1823013115974,quiet
21,616.3334939843643,quiet
22,653.9694841581988,quiet
23,548.7375822719548,quiet
24,557.3576907969893,quiet
25,601.227954453192,quiet
26,540.2857864841811,quiet
27,582.7192294263335,quiet
28,723.5802093830439,quiet
29,861.6144833054982,quiet
30,471.6262966180893,quiet
31,564.3148475871226,quiet
32,555.1126333287772,quiet
33,606.9952589235776,quiet
34,675.0338832718945,quiet
35,691.1234232444075,quiet
36,637.2189351288687,quiet
37,609.9032618028635,quiet
38,863.4952529014652,quiet
39,607.3640946508938,quiet
40,498.4512108036872,quiet
41,693.4334122097496,quiet
42,656.5827462872508,quiet
43,638.2753024085848,quiet
44,606.4986231965516,quiet
45,472.77542466686486,quiet
46,713.7745501762414,quiet
47,617.8291154696717,quiet
48,870.0942828923193,quiet
49,767.6300647629619,quiet
50,727.7734810890184,quiet
51,719.6531376754334,quiet
52,505.9851805365365,quiet
53,544.1387741249272,quiet
54,573.2569140958653,quiet
55,540.7880087792104,quiet
56,562.5756625441718,quiet
57,672.5129375773448,quiet
58,583.3081652538318,quiet
59,762.6003823679389,quiet
60,754.486405555377,quiet
